Genotype,Fieldplot,Replicate,FOV,image_name,index,label,stoma_area,x_center,y_center,width,length,angle,ellipse_area,R2,length_width_ratio,note
Z019E0047,496,1,1,496_leaf1_1,1,496_leaf1_1.tif_1,792.2363281,368.336329,359.4889343,22.20330673,45.63488419,3.135708142,795.8010222,0.697542314,2.055319271,0
Z019E0047,496,1,1,496_leaf1_1,2,496_leaf1_1.tif_2,577.3925781,506.0163605,265.5012836,29.38686981,26.11003658,0.174967951,602.6299206,-0.793895671,0.888493288,edge
Z019E0047,496,1,1,496_leaf1_1,3,496_leaf1_1.tif_3,811.7675781,409.8470691,458.73832,25.11310608,41.33877673,3.106283954,815.3572433,0.828646137,1.646103695,0
Z019E0047,496,1,1,496_leaf1_1,4,496_leaf1_1.tif_4,963.1347656,224.0356439,246.9154385,26.94459616,45.58782236,3.102553243,964.7402709,0.833059573,1.691909654,0
Z019E0047,496,1,1,496_leaf1_1,5,496_leaf1_1.tif_5,745.8496094,328.0982365,482.6579257,24.98512344,38.10810641,3.047696939,747.8056635,0.827204374,1.525231865,0
Z019E0047,496,1,1,496_leaf1_1,6,496_leaf1_1.tif_6,938.7207031,85.81756267,67.05667854,32.13665046,37.24618904,2.747598308,940.0962787,0.769865591,1.158994124,0
Z019E0047,496,1,1,496_leaf1_1,7,496_leaf1_1.tif_7,753.1738281,307.5937635,455.9465041,23.96993317,40.12616343,3.133555487,755.4128048,0.817225434,1.674020663,0
Z019E0047,496,1,1,496_leaf1_1,8,496_leaf1_1.tif_8,755.6152344,91.35402063,153.5234543,21.75289599,44.40343296,2.938942149,758.6186455,0.751220263,2.041265355,0
Z019E0047,496,1,1,496_leaf1_1,9,496_leaf1_1.tif_9,872.8027344,450.9033102,356.1826567,26.38476498,42.15960106,3.109592931,873.6542704,0.867679009,1.597876695,0
Z019E0047,496,1,1,496_leaf1_1,10,496_leaf1_1.tif_10,797.1191406,35.73146347,162.921228,24.64722905,41.32094246,0.016302894,799.8861939,0.804310476,1.67649444,0
Z019E0047,496,1,1,496_leaf1_1,11,496_leaf1_1.tif_11,941.1621094,397.2348553,56.13695344,27.58169169,43.60369891,3.10976035,944.5699241,0.834562527,1.58089284,0
